state,age,total_citizen_population,percent_registered_citizen,percent_voted_citizen
MASSACHUSETTS,35 to 44,696,72.6,68.3
MASSACHUSETTS,45 to 64,"1,743",79.3,72.5
MASSACHUSETTS,65+,"1,054",81.4,74.3
MICHIGAN,Total,"7,332",74.1,64.3
MICHIGAN,18 to 24,813,55.7,37.8
MICHIGAN,25 to 34,"1,305",69.8,54.1
MICHIGAN,35 to 44,"1,012",74.1,64.2
MICHIGAN,45 to 64,"2,740",78.7,71.6
MICHIGAN,65+,"1,462",79.5,74.4
MINNESOTA,Total,"3,985",76.7,68.7
MINNESOTA,18 to 24,476,62.4,54.7
MINNESOTA,25 to 34,674,72.8,64.5
MINNESOTA,35 to 44,625,76.2,70.1
MINNESOTA,45 to 64,"1,441",80.3,72.6
MINNESOTA,65+,769,82.3,72.6
MISSISSIPPI,Total,"2,170",79.5,67.7
MISSISSIPPI,18 to 24,279,60.9,46.7
MISSISSIPPI,25 to 34,345,76.1,58.9
MISSISSIPPI,35 to 44,358,77.6,68.4
MISSISSIPPI,45 to 64,758,83.8,73.5
MISSISSIPPI,65+,431,88.4,77.7
MISSOURI,Total,"4,486",74.3,64.8
MISSOURI,18 to 24,540,60.4,48.0
MISSOURI,25 to 34,734,67.7,55.1
MISSOURI,35 to 44,692,68.4,60.4
MISSOURI,45 to 64,"1,519",77.9,70.1
MISSOURI,65+,"1,002",85.2,75.8
MONTANA,Total,790,73.5,65.9
MONTANA,18 to 24,95,Nan,Nan
MONTANA,25 to 34,129,64.4,50.7
MONTANA,35 to 44,113,74.3,67.8
MONTANA,45 to 64,272,77.9,73.0
MONTANA,65+,182,82.9,78.1
NEBRASKA,Total,"1,336",75.5,66.8
NEBRASKA,18 to 24,180,63.8,52.9
NEBRASKA,25 to 34,238,68.0,54.8
NEBRASKA,35 to 44,191,76.5,68.7
NEBRASKA,45 to 64,438,77.9,69.8
NEBRASKA,65+,290,84.4,79.5
NEVADA,Total,"1,975",69.4,60.5
NEVADA,18 to 24,229,53.9,42.9
NEVADA,25 to 34,361,61.4,50.6
NEVADA,35 to 44,305,72.1,60.9
NEVADA,45 to 64,678,70.8,63.5
NEVADA,65+,402,81.1,74.0
NEW HAMPSHIRE,Total,"1,012",75.4,69.0
NEW HAMPSHIRE,18 to 24,96,Nan,Nan
NEW HAMPSHIRE,25 to 34,149,68.8,59.8
NEW HAMPSHIRE,35 to 44,154,70.4,66.3
NEW HAMPSHIRE,45 to 64,386,80.1,74.2
NEW HAMPSHIRE,65+,225,77.8,73.2
NEW JERSEY,Total,"5,958",69.9,61.5
NEW JERSEY,18 to 24,750,55.9,40.7
NEW JERSEY,25 to 34,814,62.3,52.3
NEW JERSEY,35 to 44,881,71.6,64.3
NEW JERSEY,45 to 64,"2,196",73.5,67.0
NEW JERSEY,65+,"1,317",75.4,68.0
NEW MEXICO,Total,"1,396",65.6,54.8
NEW MEXICO,18 to 24,223,53.8,40.9
NEW MEXICO,25 to 34,196,55.5,39.5
NEW MEXICO,35 to 44,183,63.8,51.2
NEW MEXICO,45 to 64,500,66.3,56.6
NEW MEXICO,65+,294,81.2,74.7
NEW YORK,Total,"13,751",66.5,57.2
NEW YORK,18 to 24,"1,590",52.3,38.2
NEW YORK,25 to 34,"2,503",60.3,51.0
NEW YORK,35 to 44,"2,092",65.1,55.1
NEW YORK,45 to 64,"4,531",71.4,63.4
NEW YORK,65+,"3,035",72.6,64.5
NORTH CAROLINA,Total,"6,960",74.6,67.5
NORTH CAROLINA,18 to 24,817,61.8,50.7
NORTH CAROLINA,25 to 34,"1,111",70.6,60.0
NORTH CAROLINA,35 to 44,"1,037",72.8,65.2
NORTH CAROLINA,45 to 64,"2,520",78.5,73.1
NORTH CAROLINA,65+,"1,476",79.4,74.7
NORTH DAKOTA,Total,564,75.2,64.2
NORTH DAKOTA,18 to 24,78,Nan,Nan
NORTH DAKOTA,25 to 34,117,71.2,60.0
NORTH DAKOTA,35 to 44,87,Nan,Nan
NORTH DAKOTA,45 to 64,187,81.5,70.3
NORTH DAKOTA,65+,96,Nan,Nan
OHIO,Total,"8,499",72.1,63.6
OHIO,18 to 24,"1,060",54.3,40.1
OHIO,25 to 34,"1,276",67.3,56.3
OHIO,35 to 44,"1,270",69.6,62.3
OHIO,45 to 64,"2,997",75.8,69.1
OHIO,65+,"1,895",81.1,74.0
OKLAHOMA,Total,"2,746",67.8,56.6
OKLAHOMA,18 to 24,303,47.6,33.7
OKLAHOMA,25 to 34,502,64.6,48.0
OKLAHOMA,35 to 44,457,63.8,52.5
OKLAHOMA,45 to 64,892,71.3,62.0
OKLAHOMA,65+,593,78.5,70.7
OREGON,Total,"2,929",73.3,66.3
OREGON,18 to 24,320,63.0,48.8
OREGON,25 to 34,504,67.8,54.6
OREGON,35 to 44,442,77.9,72.3
OREGON,45 to 64,977,74.0,69.5
OREGON,65+,685,78.2,74.7
PENNSYLVANIA,Total,"9,596",72.0,62.6
PENNSYLVANIA,18 to 24,"1,130",63.7,51.4
PENNSYLVANIA,25 to 34,"1,525",67.3,54.9
PENNSYLVANIA,35 to 44,"1,351",72.8,64.1
PENNSYLVANIA,45 to 64,"3,382",75.0,67.8
PENNSYLVANIA,65+,"2,208",74.4,64.8
RHODE ISLAND,Total,766,70.3,60.6
RHODE ISLAND,18 to 24,69,Nan,Nan
RHODE ISLAND,25 to 34,137,67.6,53.6
RHODE ISLAND,35 to 44,125,75.9,62.2
RHODE ISLAND,45 to 64,263,69.9,64.2
RHODE ISLAND,65+,172,72.0,64.4
SOUTH CAROLINA,Total,"3,598",71.6,62.1
SOUTH CAROLINA,18 to 24,332,55.9,43.9
SOUTH CAROLINA,25 to 34,585,62.6,49.3
SOUTH CAROLINA,35 to 44,587,69.7,58.9
SOUTH CAROLINA,45 to 64,"1,281",74.2,67.1
SOUTH CAROLINA,65+,812,81.6,73.1
SOUTH DAKOTA,Total,612,71.4,59.1
SOUTH DAKOTA,18 to 24,81,Nan,Nan
SOUTH DAKOTA,25 to 34,98,Nan,Nan
SOUTH DAKOTA,35 to 44,90,Nan,Nan
SOUTH DAKOTA,45 to 64,224,78.8,65.4
SOUTH DAKOTA,65+,119,79.9,73.9
TENNESSEE,Total,"4,872",66.7,54.0
TENNESSEE,18 to 24,503,46.8,31.1
TENNESSEE,25 to 34,903,57.6,42.0
TENNESSEE,35 to 44,741,69.2,55.5
TENNESSEE,45 to 64,"1,674",70.9,60.2
TENNESSEE,65+,"1,052",75.7,64.2
TEXAS,Total,"17,378",67.5,55.4
TEXAS,18 to 24,"2,175",47.6,31.9
TEXAS,25 to 34,"3,186",60.2,46.5
TEXAS,35 to 44,"3,008",67.6,53.7
TEXAS,45 to 64,"5,743",72.8,62.3
TEXAS,65+,"3,265",78.3,69.0
UTAH,Total,"1,969",71.0,62.7
UTAH,18 to 24,326,52.4,43.6
UTAH,25 to 34,388,62.7,51.8
UTAH,35 to 44,373,73.9,65.2
UTAH,45 to 64,549,78.7,71.5
UTAH,65+,333,82.9,76.6
VERMONT,Total,488,71.9,62.5
VERMONT,18 to 24,55,Nan,Nan
VERMONT,25 to 34,75,Nan,Nan
VERMONT,35 to 44,70,Nan,Nan
VERMONT,45 to 64,177,75.3,66.5
VERMONT,65+,111,82.2,77.1
VIRGINIA,Total,"5,829",75.5,68.2
VIRGINIA,18 to 24,737,67.9,60.7
VIRGINIA,25 to 34,993,64.4,55.3
VIRGINIA,35 to 44,833,78.1,68.8
VIRGINIA,45 to 64,"2,023",79.7,74.2
VIRGINIA,65+,"1,244",80.0,72.6
WASHINGTON,Total,"5,104",76.5,66.3
WASHINGTON,18 to 24,594,59.1,45.9
WASHINGTON,25 to 34,848,69.2,54.2
WASHINGTON,35 to 44,876,77.2,64.4
WASHINGTON,45 to 64,"1,859",81.9,73.5
WASHINGTON,65+,927,83.0,77.6
WEST VIRGINIA,Total,"1,425",64.1,50.8
WEST VIRGINIA,18 to 24,153,50.7,32.5
WEST VIRGINIA,25 to 34,225,62.7,43.8
WEST VIRGINIA,35 to 44,204,57.1,47.2
WEST VIRGINIA,45 to 64,509,64.7,52.6
WEST VIRGINIA,65+,334,74.5,63.3
WISCONSIN,Total,"4,354",76.3,70.5
WISCONSIN,18 to 24,530,50.7,47.1
WISCONSIN,25 to 34,678,64.3,54.6
WISCONSIN,35 to 44,701,81.8,75.2
WISCONSIN,45 to 64,"1,479",83.5,79.0
WISCONSIN,65+,966,83.8,77.9
WYOMING,Total,427,71.1,64.8
WYOMING,18 to 24,55,Nan,Nan
WYOMING,25 to 34,73,Nan,Nan
WYOMING,35 to 44,68,Nan,Nan
WYOMING,45 to 64,148,74.2,68.6
WYOMING,65+,83,Nan,Nan
